name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Керч, Україна",2025-01-15,3.0,-6.0,-2.1,2.3,-10.7,-5.0,-5.0,81.0,0.0,0,0.0,NaN,0.0,0.0,20.9,14.4,56.6,1026.5,36.3,10.0,77.9,6.6,3.0,,2025-01-15T08:10:02,2025-01-15T17:17:36,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-16,4.0,-5.0,-0.6,0.6,-10.4,-4.8,-2.5,87.4,0.0,0,0.0,NaN,0.0,0.0,39.6,25.1,346.5,1028.4,50.1,10.0,78.7,6.8,4.0,,2025-01-16T08:09:26,2025-01-16T17:18:53,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-17,7.0,1.0,3.8,5.0,-3.7,0.0,1.5,84.8,0.0,0,0.0,NaN,0.0,0.0,48.2,28.7,279.6,1028.7,92.7,10.0,30.8,2.7,2.0,,2025-01-17T08:08:48,2025-01-17T17:20:12,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-18,3.0,1.8,2.2,0.1,-3.1,-1.7,1.6,95.7,0.0,0,0.0,NaN,0.0,0.0,42.5,25.0,307.7,1022.4,93.4,8.6,35.6,2.9,2.0,,2025-01-18T08:08:08,2025-01-18T17:21:31,0.64,Overcast,Cloudy skies throughout the day.,cloudy,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-19,5.3,2.4,3.5,0.6,-3.0,-1.1,1.7,88.7,0.895,100,4.17,rain,0.0,0.0,59.4,28.8,321.8,1016.6,87.8,8.0,56.5,4.9,2.0,,2025-01-19T08:07:25,2025-01-19T17:22:52,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-20,7.0,2.0,3.6,3.4,-1.4,0.5,-0.3,76.2,0.0,0,0.0,NaN,0.0,0.0,36.0,25.2,278.3,1024.1,73.7,10.0,83.0,7.1,4.0,,2025-01-20T08:06:40,2025-01-20T17:24:13,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-21,9.0,0.7,5.9,6.9,-2.3,3.5,2.7,80.9,0.0,0,0.0,NaN,0.0,0.0,23.4,21.6,199.2,1025.7,66.0,9.8,66.0,5.7,3.0,,2025-01-21T08:05:53,2025-01-21T17:25:35,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-22,8.0,0.0,3.4,6.1,-3.7,0.3,1.5,87.8,0.0,0,0.0,NaN,0.0,0.0,36.0,18.0,92.6,1021.3,70.4,8.9,62.7,5.5,3.0,,2025-01-22T08:05:03,2025-01-22T17:26:58,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-23,12.0,2.7,6.9,12.0,1.0,6.0,5.5,91.2,2.685,100,8.33,rain,0.0,0.0,19.8,18.0,167.6,1019.1,72.6,8.9,50.2,4.3,3.0,,2025-01-23T08:04:12,2025-01-23T17:28:21,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-24,10.0,3.2,7.8,10.0,3.2,6.8,6.7,92.7,0.0,0,0.0,NaN,0.0,0.0,19.1,21.6,199.5,1020.1,73.4,7.7,71.9,6.3,3.0,,2025-01-24T08:03:18,2025-01-24T17:29:46,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-25,13.0,4.0,7.4,13.0,0.6,6.0,5.1,86.5,0.0,0,0.0,NaN,0.0,0.0,26.3,21.6,133.6,1022.2,30.1,8.7,86.3,7.5,4.0,,2025-01-25T08:02:22,2025-01-25T17:31:10,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-26,11.0,0.0,4.7,11.0,-3.5,2.8,2.6,87.5,0.0,0,0.0,NaN,0.0,0.0,27.7,25.2,80.3,1026.9,12.0,8.0,98.4,8.4,4.0,,2025-01-26T08:01:23,2025-01-26T17:32:35,0.9,Clear,Clear conditions throughout the day.,clear-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-27,13.0,-2.0,5.5,13.0,-4.8,3.6,3.0,85.9,0.298,100,4.17,rain,0.0,0.0,28.1,22.3,155.5,1025.6,37.8,8.1,99.1,8.5,4.0,,2025-01-27T08:00:23,2025-01-27T17:34:01,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-28,14.0,0.0,7.2,14.0,-3.1,5.3,4.2,83.8,0.0,0,0.0,NaN,0.0,0.0,36.0,21.6,160.5,1022.0,29.0,9.6,100.4,8.8,4.0,,2025-01-28T07:59:21,2025-01-28T17:35:27,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-29,16.0,5.0,9.2,16.0,2.2,7.4,4.1,74.1,0.0,0,0.0,NaN,0.0,0.0,39.6,21.6,157.7,1022.0,15.5,9.8,98.3,8.4,4.0,,2025-01-29T07:58:16,2025-01-29T17:36:53,0.0,Clear,Clear conditions throughout the day.,clear-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-30,16.0,0.0,8.5,16.0,-1.3,7.6,0.9,63.6,0.0,0,0.0,NaN,0.0,0.0,28.4,18.0,168.9,1025.5,40.9,9.5,103.5,9.0,4.0,,2025-01-30T07:57:10,2025-01-30T17:38:20,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-01-31,16.0,2.0,8.0,16.0,-0.1,7.0,0.0,60.4,0.0,0,0.0,NaN,0.0,0.0,27.4,28.8,55.0,1023.7,75.2,10.0,99.0,8.5,4.0,,2025-01-31T07:56:02,2025-01-31T17:39:47,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-01,10.0,-1.0,3.7,10.0,-3.6,2.0,1.8,88.6,0.0,0,0.0,NaN,0.0,0.0,22.7,25.2,55.7,1024.1,49.0,8.4,83.7,7.0,4.0,,2025-02-01T07:54:52,2025-02-01T17:41:14,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-02,8.0,-3.6,3.8,6.9,-6.7,1.0,3.1,95.5,0.696,100,8.33,"rain,snow",0.0,0.0,32.4,18.0,0.0,1024.9,79.4,8.7,75.4,6.6,3.0,,2025-02-02T07:53:40,2025-02-02T17:42:41,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-03,7.0,-2.4,3.1,7.0,-4.0,1.2,1.7,90.9,9.944,100,8.33,rain,0.0,0.0,38.9,25.2,74.2,1018.9,87.7,8.2,38.3,3.3,2.0,,2025-02-03T07:52:26,2025-02-03T17:44:08,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-04,3.0,-2.0,1.0,-1.8,-4.8,-3.4,-0.3,90.8,7.956,100,8.33,"rain,snow",0.0,0.0,50.4,28.8,324.2,1021.4,81.4,9.3,98.5,8.5,4.0,,2025-02-04T07:51:11,2025-02-04T17:45:36,0.21,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-05,3.0,-5.0,-0.5,1.0,-9.5,-4.1,-3.1,83.5,0.0,0,0.0,NaN,0.0,0.0,36.4,25.2,38.4,1024.2,43.3,10.8,105.5,9.2,4.0,,2025-02-05T07:49:54,2025-02-05T17:47:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"URKA,33983099999,37001099999"
"Керч, Україна",2025-02-06,1.1,-1.0,-0.1,-4.6,-9.8,-7.2,-1.5,90.2,3.281,100,8.33,"rain,snow",1.4,0.2,75.6,54.0,56.1,1023.5,88.8,7.3,29.8,2.5,1.0,,2025-02-06T07:48:35,2025-02-06T17:48:31,0.28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"URKA,34915099999,33983099999,34917099999,37001099999"
