name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Краснодар, Южный федеральный округ, Россия",2025-01-15,0,-4,-2.7,-1.0,-8.0,-4.1,-3.8,92.3,0.0,0,0.0,NaN,0,6.4,13.3,14.4,42.3,1027.0,84.5,7.0,52.5,4.7,2.0,,2025-01-15T07:58:57,2025-01-15T17:08:37,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-16,1,-5,-2.1,-2.0,-8.3,-4.2,-3.2,92.4,0.0,0,0.0,NaN,0,4.2,18.4,18.0,251.1,1028.3,95.6,5.0,72.5,6.3,3.0,,2025-01-16T07:58:22,2025-01-16T17:09:54,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-17,5,0,2.6,1.9,-5.0,-2.0,0.9,88.4,0.7,100,29.17,rain,0,2.6,37.8,28.8,250.4,1028.1,93.6,9.5,26.2,2.3,1.0,,2025-01-17T07:57:45,2025-01-17T17:11:11,0.61,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-18,6,1,2.8,2.6,-4.2,-1.7,1.3,90.0,2.9,100,58.33,rain,0,1.0,31.3,25.2,275.6,1021.3,86.2,9.0,30.4,2.5,1.0,,2025-01-18T07:57:06,2025-01-18T17:12:30,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-19,5,2,3.2,1.3,-2.9,-1.1,1.3,87.7,3.6,100,79.17,rain,0,0.1,37.4,28.8,289.4,1014.8,87.9,9.3,55.4,4.8,3.0,,2025-01-19T07:56:24,2025-01-19T17:13:50,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-20,3,0,2.2,1.0,-3.7,-1.2,-1.0,79.5,0.0,0,0.0,NaN,0,0.0,31.3,25.2,265.7,1023.7,72.1,10.0,65.0,5.6,3.0,,2025-01-20T07:55:40,2025-01-20T17:15:10,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-21,9,-1,4.4,8.0,-3.6,2.0,1.7,83.0,0.0,0,0.0,NaN,0,0.0,30.2,18.0,177.5,1026.5,46.4,10.0,72.1,6.3,3.0,,2025-01-21T07:54:53,2025-01-21T17:16:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-22,6,0,2.5,1.8,-4.6,-1.8,0.2,85.0,0.0,0,0.0,NaN,0,0.0,38.5,25.2,84.2,1023.0,55.6,9.2,79.9,6.9,4.0,,2025-01-22T07:54:05,2025-01-22T17:17:53,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-23,6,1,3.3,4.5,-3.1,0.4,0.3,81.1,0.6,100,25.0,rain,0,0.0,21.6,18.0,95.1,1020.3,95.8,10.0,48.1,4.0,2.0,,2025-01-23T07:53:14,2025-01-23T17:19:16,0.8,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"34929099999,URKK"
"Краснодар, Южный федеральный округ, Россия",2025-01-24,10,2,5.9,10.0,-0.1,5.0,3.8,86.9,2.9,100,54.17,rain,0,0.0,32.4,10.8,142.4,1020.9,75.8,10.0,56.0,5.0,3.0,,2025-01-24T07:52:21,2025-01-24T17:20:39,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
