name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"London, England, United Kingdom",2025-01-15,9.6,8.1,8.7,9.6,7.0,8.0,8.1,96.4,0.399,100,12.5,rain,0,0,12.8,8.5,258.0,1034.2,92.6,5.4,7.7,0.6,0,,2025-01-15T07:59:21,2025-01-15T16:21:11,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-16,9.3,6.8,8.0,8.1,5.1,6.7,5.9,87.0,0.199,100,4.17,rain,0,0,21.4,13.7,203.4,1034.4,95.6,16.5,14.7,1.2,1,,2025-01-16T07:58:29,2025-01-16T16:22:46,0.58,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-17,6.3,4.1,5.3,4.5,2.7,3.5,2.6,82.1,0.0,0,0.0,NaN,0,0,21.8,14.0,206.3,1035.5,97.8,12.2,17.6,1.4,1,,2025-01-17T07:57:33,2025-01-17T16:24:22,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-18,4.0,2.1,3.1,3.1,0.7,2.0,1.0,85.8,0.0,0,0.0,NaN,0,0,18.1,9.2,128.8,1029.6,100.0,5.7,8.4,0.7,0,,2025-01-18T07:56:35,2025-01-18T16:26:00,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-19,3.6,2.5,3.1,3.0,-0.6,1.0,0.1,80.1,0.0,0,0.0,NaN,0,0,19.2,11.6,168.7,1021.2,99.0,10.0,6.3,0.5,0,,2025-01-19T07:55:34,2025-01-19T16:27:39,0.68,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-20,6.0,2.8,4.3,6.0,1.3,3.4,2.3,86.5,0.198,100,4.17,rain,0,0,16.9,11.8,218.8,1018.3,85.1,11.2,17.3,1.4,1,,2025-01-20T07:54:30,2025-01-20T16:29:19,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-21,6.5,1.4,3.7,4.7,1.4,2.8,2.4,90.8,0.0,0,0.0,NaN,0,0,17.7,11.1,156.2,1013.8,90.5,5.0,24.2,2.2,1,,2025-01-21T07:53:24,2025-01-21T16:31:00,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-22,5.1,3.1,3.9,4.1,1.1,2.6,2.0,87.4,0.199,100,4.17,rain,0,0,15.3,11.5,344.9,1004.6,90.9,5.2,11.3,1.0,1,,2025-01-22T07:52:15,2025-01-22T16:32:42,0.77,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,03684099999,EGLC,03772099999,03770099999"
"London, England, United Kingdom",2025-01-23,8.6,2.3,5.2,5.0,-0.3,2.2,3.3,87.3,4.977,100,20.83,rain,0,0,46.3,27.9,221.9,1002.6,67.9,15.6,11.4,1.0,0,,2025-01-23T07:51:03,2025-01-23T16:34:25,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,EGWU,03768399999,03781099999,03672099999,03684099999,03768099999,03772099999,03693099999,03680099999,D5621,03761099999,EGLC,03770099999"
"London, England, United Kingdom",2025-01-24,11.1,5.9,9.3,11.1,2.5,7.8,4.6,73.9,2.799,100,33.33,rain,0,0,63.7,39.8,213.7,996.2,93.1,13.5,23.7,2.2,1,,2025-01-24T07:49:49,2025-01-24T16:36:09,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-25,8.6,2.0,5.9,7.6,1.0,4.4,1.0,71.9,0.994,100,4.17,rain,0,0,26.6,17.3,258.5,1004.6,53.5,37.0,34.8,2.9,3,,2025-01-25T07:48:33,2025-01-25T16:37:54,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-26,10.1,1.5,5.6,10.1,-1.6,2.4,2.9,82.4,5.193,100,33.33,rain,0,0,55.1,33.3,163.6,995.0,73.9,22.1,10.0,0.8,1,,2025-01-26T07:47:14,2025-01-26T16:39:40,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-27,10.1,6.7,8.1,10.1,2.5,4.5,4.8,79.9,7.57,100,41.67,rain,0,0,71.9,40.6,202.2,981.1,75.0,25.9,32.3,2.9,3,,2025-01-27T07:45:53,2025-01-27T16:41:26,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-28,10.1,7.6,8.9,10.1,4.1,5.9,6.3,83.9,2.988,100,54.17,rain,0,0,49.0,29.5,226.9,983.8,97.5,31.6,20.5,1.7,1,,2025-01-28T07:44:29,2025-01-28T16:43:13,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-29,8.8,4.1,6.8,8.3,2.1,4.9,3.9,81.7,0.0,0,0.0,NaN,0,0,28.8,19.9,272.0,1003.1,49.5,35.0,29.3,2.4,2,,2025-01-29T07:43:04,2025-01-29T16:45:01,0.0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-30,8.5,3.3,5.5,5.6,0.9,3.1,0.7,71.3,0.0,0,0.0,NaN,0,0,28.6,19.5,323.5,1019.8,28.5,41.5,37.8,3.2,3,,2025-01-30T07:41:36,2025-01-30T16:46:49,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-01-31,8.1,3.3,5.9,7.2,1.4,4.2,4.6,91.1,4.784,100,41.67,rain,0,0,24.5,14.8,175.7,1024.8,98.2,16.7,9.0,0.7,0,,2025-01-31T07:40:06,2025-01-31T16:48:37,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03761099999,EGLC,03772099999,03770099999,03693099999"
"London, England, United Kingdom",2025-02-01,6.1,2.1,4.9,4.4,0.1,3.0,2.6,84.8,0.0,0,0.0,NaN,0,0,19.0,11.4,141.8,1028.9,82.0,30.9,10.8,1.0,1,,2025-02-01T07:38:34,2025-02-01T16:50:26,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-02,8.1,0.0,3.5,6.2,-2.4,1.5,1.0,85.0,0.0,0,0.0,NaN,0,0,20.2,13.1,161.9,1023.2,9.0,18.2,37.3,3.3,3,,2025-02-02T07:37:01,2025-02-02T16:52:15,0.14,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-03,8.3,0.8,5.2,6.3,-0.5,3.3,3.7,90.4,0.198,100,4.17,rain,0,0,25.5,15.6,194.6,1024.8,68.1,11.0,19.0,1.6,1,,2025-02-03T07:35:25,2025-02-03T16:54:05,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-04,9.8,6.1,8.3,7.3,3.8,5.7,6.0,85.1,0.0,0,0.0,NaN,0,0,39.1,24.5,206.4,1023.4,85.7,28.6,18.5,1.6,1,,2025-02-04T07:33:47,2025-02-04T16:55:54,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-05,9.8,3.1,6.8,8.8,1.7,5.6,3.2,78.5,0.0,0,0.0,NaN,0,0,19.9,13.7,269.3,1037.7,15.6,23.4,43.6,3.7,3,,2025-02-05T07:32:08,2025-02-05T16:57:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03781099999,03672099999,F6665,03772099999,03770099999"
"London, England, United Kingdom",2025-02-06,8.3,2.3,5.4,5.8,0.9,3.1,1.8,77.8,0.001,100,4.17,rain,0,0,32.3,19.7,49.6,1041.8,35.7,22.7,46.3,4.0,3,,2025-02-06T07:30:26,2025-02-06T16:59:34,0.28,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-07,4.8,3.5,4.2,1.2,-0.5,0.2,1.7,84.1,5.169,100,45.83,rain,0,0,39.1,23.5,55.9,1025.2,91.7,15.8,7.5,0.7,0,,2025-02-07T07:28:43,2025-02-07T17:01:24,0.32,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03768099999,EGLC,03772099999,03770099999,03693099999"
"London, England, United Kingdom",2025-02-08,6.3,3.3,5.0,4.4,0.5,2.8,3.8,91.6,1.788,100,29.17,rain,0,0,28.2,16.2,76.6,1018.3,95.6,6.9,6.3,0.6,0,,2025-02-08T07:26:59,2025-02-08T17:03:14,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03781099999,03672099999,03772099999,03770099999"
"London, England, United Kingdom",2025-02-09,6.3,2.0,4.5,3.8,0.6,2.3,2.8,88.2,2.404,100,41.67,rain,0,0,33.1,19.1,55.0,1027.3,77.1,8.9,21.0,1.9,1,,2025-02-09T07:25:13,2025-02-09T17:05:05,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,EGLC,03772099999,03770099999"
"London, England, United Kingdom",2025-02-10,5.0,2.8,4.2,1.7,-0.8,0.6,1.8,84.6,1.614,100,37.5,rain,0,0,34.8,20.3,39.1,1023.6,98.6,5.8,5.7,0.5,0,,2025-02-10T07:23:25,2025-02-10T17:06:55,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,EGLC,03772099999,03770099999"
"London, England, United Kingdom",2025-02-11,5.0,3.3,4.1,4.6,0.6,2.3,2.1,87.0,0.199,100,8.33,rain,0,0,22.3,11.8,336.0,1018.5,97.8,7.0,8.6,0.8,1,,2025-02-11T07:21:35,2025-02-11T17:08:45,0.46,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"03769099999,EGWU,03680099999,EGLL,D5621,03781099999,03672099999,03761099999,EGLC,03772099999,03770099999"
"London, England, United Kingdom",2025-02-12,5.6,3.7,4.5,3.7,2.0,2.8,2.0,84.5,0.3,100,12.5,rain,0,0,17.6,13.4,8.1,1019.3,98.6,9.1,18.4,1.6,1,,2025-02-12T07:19:44,2025-02-12T17:10:35,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"EGWU,EGLL,D5621,EGLC"
"London, England, United Kingdom",2025-02-13,4.6,3.6,4.1,2.2,0.0,1.4,-0.1,74.9,0.1,100,4.17,rain,0,0,23.0,16.4,45.4,1023.3,99.6,9.8,15.9,1.3,1,,2025-02-13T07:17:52,2025-02-13T17:12:25,0.53,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"EGWU,EGLL,D5621,EGLC"
"London, England, United Kingdom",2025-02-14,5.3,1.8,3.3,1.9,-2.1,-0.2,-2.5,66.2,0.0,0,0.0,NaN,0,0,33.8,21.6,112.0,1024.7,75.6,9.9,51.5,4.4,4,,2025-02-14T07:15:59,2025-02-14T17:14:15,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
