name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Москва, Центральный федеральный округ, Россия",2025-01-15,1.1,-1.9,-0.3,-3.1,-7.8,-5.2,-1.5,91.2,1.1,100,29.17,"rain,snow",0.3,4.0,39.6,20.9,290.4,1012.7,95.8,8.5,10.5,0.9,1.0,,2025-01-15T08:49:20,2025-01-15T16:29:15,0.55,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"27612099999,UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-16,1.2,-3.0,-1.1,-4.4,-8.6,-6.4,-2.6,89.3,4.7,100,29.17,"rain,snow",1.7,3.7,40.0,28.8,260.8,1016.5,97.6,8.9,10.2,0.8,1.0,,2025-01-16T08:48:11,2025-01-16T16:31:07,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-17,3.1,1.1,2.5,-1.4,-5.0,-2.6,1.1,90.7,0.7,100,29.17,"rain,snow",0.0,2.2,47.1,30.1,292.6,1012.3,99.3,9.5,8.6,0.8,0.0,,2025-01-17T08:46:58,2025-01-17T16:33:00,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-18,2.4,0.0,1.2,-2.2,-5.3,-3.9,0.2,93.3,2.3,100,54.17,"rain,snow",0.0,0.4,46.8,27.2,270.0,1008.4,96.9,8.7,9.0,0.8,1.0,,2025-01-18T08:45:43,2025-01-18T16:34:55,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-19,1.1,-1.4,0.0,-4.0,-7.5,-5.7,-4.2,73.6,0.0,0,0.0,NaN,0.0,0.0,54.0,31.6,297.7,1010.6,50.1,10.0,38.6,3.3,2.0,,2025-01-19T08:44:24,2025-01-19T16:36:52,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-20,2.1,-1.4,0.4,-3.1,-7.3,-5.2,-3.5,76.0,0.0,0,0.0,NaN,0.0,0.0,50.4,27.9,303.0,1014.0,89.1,9.5,15.4,1.3,1.0,,2025-01-20T08:43:02,2025-01-20T16:38:50,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-21,-1.4,-7.5,-5.4,-6.3,-13.8,-10.8,-14.0,51.1,0.0,0,0.0,NaN,0.0,0.0,46.8,19.6,14.7,1027.3,63.1,10.0,39.7,3.4,2.0,,2025-01-21T08:41:38,2025-01-21T16:40:50,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUBW,UUWW,UUEE,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-22,-2.0,-7.6,-5.1,-8.5,-14.8,-12.2,-12.8,55.3,0.6,100,20.83,snow,0.2,0.0,45.4,28.5,145.3,1027.0,92.1,10.0,13.0,1.1,1.0,,2025-01-22T08:40:10,2025-01-22T16:42:51,0.77,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"37000899999,UUBW,UUWW,UUEE,27515599999,UUDD,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-23,-3.0,-3.6,-3.2,-7.8,-10.0,-9.2,-9.4,62.5,0.0,0,0.0,NaN,0.0,0.0,43.2,26.5,180.8,1020.2,98.1,10.0,12.6,1.1,1.0,,2025-01-23T08:38:40,2025-01-23T16:44:53,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"UUBW,UUWW,UUEE,27515599999,UUDD,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-24,-1.4,-2.8,-2.0,-5.9,-7.6,-6.8,-5.6,76.4,0.0,0,0.0,NaN,0.0,0.0,36.0,17.7,176.2,1019.6,87.8,10.0,25.2,2.2,1.0,,2025-01-24T08:37:07,2025-01-24T16:46:56,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UUBW,27523099999,UUWW,UUEE,UUDD,27515599999,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-25,0.5,-2.6,-0.9,-4.0,-7.0,-5.2,-2.8,87.0,0.0,0,0.0,NaN,0.0,0.0,31.7,16.7,187.9,1019.7,90.1,9.5,19.1,1.6,1.0,,2025-01-25T08:35:31,2025-01-25T16:49:01,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"UUBW,UUWW,UUEE,27515599999,UUDD,27518599999"
"Москва, Центральный федеральный округ, Россия",2025-01-26,2.7,0.7,1.8,-1.5,-4.0,-2.6,0.6,91.9,1.4,100,29.17,"rain,snow",0.0,0.0,34.2,21.4,213.7,1016.7,99.4,9.0,9.1,0.9,0.0,,2025-01-26T08:33:53,2025-01-26T16:51:06,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"UUBW,UUWW,UUEE,27515599999,UUDD,27518599999"
